序号,文件名,虫子编号,中心点x坐标,中心点y坐标,左上角x坐标,左上角y坐标,右下角x坐标,右下角y坐标
0,00013.jpg,156,2349,418,1918,-30,2780,867
1,00013.jpg,156,2958,2814,2497,2433,3420,3195
2,00047.jpg,480,2033,794,1945,702,2122,885
3,00061.jpg,156,3382,2883,3135,2664,3629,3102
4,00061.jpg,156,1414,636,995,269,1832,1003
5,00061.jpg,156,3445,1027,3204,840,3686,1213
6,00070.jpg,156,4121,551,3827,242,4415,860
7,00070.jpg,156,1634,1405,1348,1101,1921,1710
8,00070.jpg,156,1849,2583,1448,2218,2250,2949
9,00072.jpg,156,3938,3321,3757,3137,4119,3505
10,00103.jpg,156,2233,3016,1988,2858,2478,3174
11,00109.jpg,156,2098,1938,1759,1573,2437,2303
12,00109.jpg,156,2346,1043,1973,815,2720,1271
13,00142.jpg,480,3645,2504,3552,2391,3739,2617
14,00157.jpg,156,4073,1274,3759,926,4387,1622
15,00157.jpg,156,4083,2185,3986,2037,4180,2332
16,00164.jpg,156,3023,2108,2803,1922,3244,2293
17,00166.jpg,280,2889,706,2619,446,3159,966
18,00187.jpg,10,3826,2119,3788,2087,3865,2152
19,00190.jpg,156,3483,68,3296,1,3669,134
20,00194.jpg,156,2598,532,2453,414,2744,649
21,00194.jpg,156,1261,3508,968,3369,1555,3648
22,00194.jpg,156,3025,2471,2785,2294,3264,2649
23,00194.jpg,156,3381,1532,3166,1387,3597,1677
24,00201.jpg,156,1568,2256,1200,1963,1935,2550
25,00209.jpg,156,4229,3440,3945,3227,4513,3653
26,00209.jpg,392,2719,1455,2437,1205,3000,1706
27,00225.jpg,156,3379,137,3090,0,3667,275
28,00225.jpg,256,4473,2660,4217,2362,4729,2958
29,00255.jpg,156,3223,540,3096,459,3350,620
30,00255.jpg,156,1487,330,1107,-13,1868,673
31,00255.jpg,156,3964,2536,3480,2220,4448,2852
32,00255.jpg,156,2476,379,2074,-13,2879,771
33,00255.jpg,156,2771,1777,2496,1628,3046,1926
34,00255.jpg,105,3174,3385,2937,3163,3412,3607
35,00267.jpg,148,1514,3093,1277,2825,1752,3362
36,00287.jpg,156,1519,689,1301,560,1736,818
37,00287.jpg,148,3093,2479,2820,2277,3365,2680
38,00289.jpg,105,3529,1790,3298,1600,3761,1981
39,00297.jpg,156,1289,207,1022,0,1556,414
40,00310.jpg,156,2310,2546,1998,2281,2622,2812
41,00310.jpg,156,1891,529,1419,222,2362,836
42,00321.jpg,156,3372,3536,3125,3423,3619,3648
43,00347.jpg,392,3349,1197,3171,1025,3527,1370
44,00349.jpg,156,1396,139,1095,3,1697,275
45,00349.jpg,156,4107,1351,3651,928,4563,1774
46,00349.jpg,105,2543,2012,2208,1698,2879,2326
47,00355.jpg,156,1194,746,867,405,1521,1086
48,00355.jpg,387,3850,2019,3598,1839,4102,2199
49,00361.jpg,156,2127,1246,1932,1006,2321,1486
50,00361.jpg,156,3132,2926,2886,2615,3378,3236
51,00361.jpg,156,2823,524,2545,136,3101,911
52,00361.jpg,156,3544,1328,3372,1128,3716,1527
53,00372.jpg,156,3514,3537,3207,3425,3820,3649
54,00372.jpg,156,4627,1215,4487,1016,4767,1414
55,00413.jpg,156,1982,2417,1733,2236,2232,2598
56,00413.jpg,398,3092,399,2980,247,3203,551
57,00444.jpg,156,2276,1968,2073,1709,2480,2228
58,00450.jpg,8,1185,540,1091,404,1280,675
59,00453.jpg,7,2638,123,2427,0,2848,247
60,00453.jpg,156,1485,115,1251,0,1719,231
61,00453.jpg,387,2272,1001,1880,805,2665,1197
62,00455.jpg,156,1444,243,1039,4,1849,483
63,00550.jpg,156,3068,2659,2497,2359,3638,2958
