文件名,虫子编号,虫子数量
00013.jpg,156,2
00047.jpg,480,1
00061.jpg,156,3
00070.jpg,156,3
00072.jpg,156,1
00103.jpg,156,1
00109.jpg,156,2
00142.jpg,480,1
00157.jpg,156,2
00164.jpg,156,1
00166.jpg,280,1
00187.jpg,10,1
00190.jpg,156,1
00194.jpg,156,4
00201.jpg,156,1
00209.jpg,156,1
00209.jpg,392,1
00225.jpg,156,1
00225.jpg,256,1
00255.jpg,105,1
00255.jpg,156,5
00267.jpg,148,1
00287.jpg,148,1
00287.jpg,156,1
00289.jpg,105,1
00297.jpg,156,1
00310.jpg,156,2
00321.jpg,156,1
00347.jpg,392,1
00349.jpg,105,1
00349.jpg,156,2
00355.jpg,156,1
00355.jpg,387,1
00361.jpg,156,4
00372.jpg,156,2
00413.jpg,156,1
00413.jpg,398,1
00444.jpg,156,1
00450.jpg,8,1
00453.jpg,7,1
00453.jpg,156,1
00453.jpg,387,1
00455.jpg,156,1
00550.jpg,156,2
00550.jpg,480,1
00556.jpg,480,1
00588.jpg,25,1
00588.jpg,156,2
00605.jpg,156,1
00613.jpg,480,1
00623.jpg,156,4
00680.jpg,156,1
00702.jpg,480,2
00707.jpg,156,3
00723.jpg,156,1
00743.jpg,156,2
00743.jpg,398,1
00764.jpg,156,2
00778.jpg,156,2
00816.jpg,156,1
00849.jpg,156,1
00863.jpg,156,1
00874.jpg,156,1
00920.jpg,156,1
00926.jpg,156,1
00931.jpg,156,1
00937.jpg,156,1
00968.jpg,392,1
00977.jpg,235,1
00984.jpg,156,3
01030.jpg,7,1
01044.jpg,156,3
01056.jpg,256,1
01059.jpg,156,1
01067.jpg,105,1
01079.jpg,156,1
01079.jpg,480,1
01099.jpg,156,1
01103.jpg,105,1
01117.jpg,156,2
01128.jpg,105,1
01128.jpg,156,2
01133.jpg,8,1
01133.jpg,156,5
01133.jpg,256,1
01134.jpg,156,1
01141.jpg,485,1
01152.jpg,156,3
01162.jpg,105,1
01184.jpg,156,1
01199.jpg,7,1
01199.jpg,105,1
01199.jpg,156,1
01220.jpg,156,1
01232.jpg,156,2
01246.jpg,156,2
01268.jpg,480,1
01285.jpg,156,1
01287.jpg,156,2
01296.jpg,105,2
01296.jpg,156,1
01325.jpg,105,1
01325.jpg,156,1
01327.jpg,156,1
01347.jpg,7,1
01347.jpg,148,1
01387.jpg,156,1
01393.jpg,156,1
01421.jpg,156,1
01442.jpg,480,1
01444.jpg,156,3
01472.jpg,156,2
01480.jpg,105,1
01507.jpg,7,1
01507.jpg,156,1
01507.jpg,235,1
01563.jpg,156,1
01590.jpg,148,2
01605.jpg,392,1
01645.jpg,156,1
01645.jpg,392,2
01650.jpg,480,1
01654.jpg,156,1
01671.jpg,156,1
01686.jpg,156,1
01710.jpg,148,1
01710.jpg,156,2
01721.jpg,156,1
01723.jpg,148,1
01731.jpg,148,1
01734.jpg,480,1
01748.jpg,6,1
01784.jpg,156,1
01816.jpg,156,8
01823.jpg,156,1
01825.jpg,156,1
01836.jpg,156,1
01866.jpg,156,2
01878.jpg,156,1
01908.jpg,480,1
01927.jpg,105,1
01933.jpg,41,1
01933.jpg,105,1
01933.jpg,480,1
01955.jpg,156,1
02023.jpg,156,1
02023.jpg,398,1
02026.jpg,156,1
02034.jpg,256,1
02048.jpg,7,1
02064.jpg,256,1
02069.jpg,105,1
02077.jpg,156,1
02089.jpg,148,1
02100.jpg,156,1
02100.jpg,480,1
02107.jpg,156,1
02124.jpg,156,1
02127.jpg,105,1
02127.jpg,156,1
02138.jpg,156,1
02153.jpg,156,1
02153.jpg,256,1
02182.jpg,156,1
02202.jpg,387,1
02202.jpg,480,1
02205.jpg,156,1
02229.jpg,8,1
02256.jpg,8,1
02261.jpg,156,1
02265.jpg,156,2
02269.jpg,480,1
02282.jpg,105,1
02283.jpg,7,1
02283.jpg,156,1
02297.jpg,480,1
02328.jpg,156,1
02331.jpg,156,1
02344.jpg,105,1
02393.jpg,8,1
02393.jpg,156,1
02407.jpg,156,1
02414.jpg,8,1
02419.jpg,156,1
02428.jpg,156,1
02434.jpg,156,2
02458.jpg,7,1
02458.jpg,256,1
02464.jpg,8,1
02472.jpg,7,1
02475.jpg,156,1
02479.jpg,156,1
02485.jpg,392,1
