序号,文件名,虫子编号,中心点x坐标,中心点y坐标,左上角x坐标,左上角y坐标,右下角x坐标,右下角y坐标
0,00015.jpg,156,3588,43,3464,0,3712,88
1,00018.jpg,156,3654,1048,3427,795,3881,1302
2,00018.jpg,480,4444,546,4283,299,4605,793
3,00021.jpg,156,1208,2165,827,1751,1590,2579
4,00021.jpg,480,4318,1097,4253,1038,4383,1156
5,00022.jpg,480,3721,2170,3573,2019,3869,2320
6,00028.jpg,156,2760,3384,2401,3120,3119,3648
7,00028.jpg,156,3913,2161,3565,1795,4260,2526
8,00028.jpg,156,982,268,596,-3,1368,540
9,00028.jpg,156,3515,3369,3202,3089,3828,3649
10,00028.jpg,156,2399,2731,1951,2433,2847,3028
11,00033.jpg,156,2325,1245,1955,849,2695,1641
12,00033.jpg,156,2538,801,2279,616,2797,986
13,00034.jpg,156,4731,2043,4444,1889,5019,2196
14,00034.jpg,156,2618,2422,2464,2194,2773,2650
15,00053.jpg,392,4019,1092,3811,849,4227,1336
16,00055.jpg,156,2505,1462,2093,1069,2917,1855
17,00055.jpg,41,1877,1662,1688,1470,2065,1853
18,00055.jpg,392,4514,2350,4435,2279,4593,2421
19,00059.jpg,480,3435,1603,3338,1508,3532,1699
20,00075.jpg,156,3461,318,3176,-4,3746,642
21,00076.jpg,156,3046,788,2586,437,3506,1138
22,00087.jpg,156,2508,1947,2017,1675,2999,2218
23,00087.jpg,156,4276,1679,3913,1299,4640,2059
24,00130.jpg,156,2883,3512,2718,3378,3048,3646
25,00133.jpg,7,3644,1825,3488,1700,3799,1951
26,00133.jpg,228,4131,184,3908,-13,4353,383
27,00133.jpg,8,3036,1759,2992,1685,3080,1833
28,00133.jpg,105,3592,443,3363,158,3821,727
29,00136.jpg,156,1463,1778,1063,1426,1863,2129
30,00153.jpg,156,1998,2808,1553,2528,2444,3088
31,00153.jpg,156,1389,3020,1140,2793,1638,3247
32,00153.jpg,480,3302,2367,3142,2168,3461,2565
33,00167.jpg,156,4814,1191,4539,930,5090,1452
34,00167.jpg,156,1465,2427,1220,2168,1710,2686
